"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","Veraenderung"
"29.09.2023","10.963,50","10.951,55","11.044,82","10.948,20","25,77M","0,42%"
"28.09.2023","10.917,79","10.893,50","10.917,79","10.814,94","20,22M","0,33%"
"27.09.2023","10.882,31","10.976,80","11.022,49","10.866,59","28,69M","-0,65%"
"26.09.2023","10.953,70","10.969,51","11.004,73","10.918,17","26,05M","-0,55%"
"25.09.2023","11.014,26","10.990,89","11.068,53","10.963,37","20,23M","0,00%"
"22.09.2023","11.014,76","11.027,09","11.055,31","10.987,23","19,24M","-0,63%"
"21.09.2023","11.084,74","11.106,29","11.219,56","11.074,47","23,07M","-0,62%"
"20.09.2023","11.154,11","11.115,39","11.169,02","11.091,09","21,35M","0,77%"
"19.09.2023","11.068,70","11.041,94","11.121,67","11.036,45","20,05M","-0,20%"
"18.09.2023","11.090,61","11.183,18","11.192,80","11.070,56","22,88M","-0,96%"
"15.09.2023","11.197,72","11.182,55","11.244,12","11.182,55","77,18M","0,90%"
"14.09.2023","11.098,32","10.975,60","11.103,21","10.975,07","20,71M","1,11%"
"13.09.2023","10.976,38","10.955,71","11.000,52","10.901,85","20,26M","-0,10%"
"12.09.2023","10.987,13","11.002,78","11.055,38","10.987,13","17,92M","0,14%"
"11.09.2023","10.972,21","10.987,13","11.024,26","10.931,11","17,85M","0,22%"
"08.09.2023","10.948,59","10.977,94","10.998,54","10.911,43","19,71M","-0,41%"
"07.09.2023","10.993,43","10.890,87","10.993,43","10.890,87","22,24M","0,63%"
"06.09.2023","10.924,42","10.906,71","10.948,62","10.859,02","22,22M","-0,31%"
"05.09.2023","10.958,90","11.005,48","11.024,57","10.953,57","18,98M","-0,86%"
"04.09.2023","11.053,59","11.094,94","11.141,31","11.045,33","15,68M","-0,19%"
"01.09.2023","11.075,15","11.100,55","11.133,63","11.069,45","22,82M","-0,46%"
"31.08.2023","11.125,95","11.123,93","11.172,69","11.106,24","61,19M","0,32%"
"30.08.2023","11.090,22","11.112,00","11.130,25","11.068,00","21,24M","-0,14%"
"29.08.2023","11.106,24","11.064,47","11.107,44","11.033,38","20,43M","0,67%"
"28.08.2023","11.032,76","11.029,17","11.060,38","11.022,98","16,44M","0,69%"
"25.08.2023","10.956,90","10.960,05","11.008,85","10.928,00","18,23M","-0,18%"
"24.08.2023","10.976,83","11.025,44","11.054,89","10.966,71","24,41M","0,03%"
"23.08.2023","10.973,64","10.929,41","11.021,56","10.925,13","19,66M","0,90%"
"22.08.2023","10.875,68","10.883,55","10.942,69","10.872,98","20,19M","0,25%"
"21.08.2023","10.848,34","10.842,63","10.926,01","10.842,63","17,81M","0,09%"
"18.08.2023","10.839,06","10.863,53","10.870,27","10.749,38","23,61M","-0,42%"
"17.08.2023","10.884,89","10.943,37","10.951,87","10.876,46","22,96M","-0,98%"
"16.08.2023","10.992,31","10.971,14","11.028,54","10.971,14","20,67M","0,06%"
"15.08.2023","10.985,22","11.086,88","11.097,54","10.956,38","20,33M","-1,12%"
"14.08.2023","11.110,11","11.084,22","11.125,75","11.064,87","17,57M","0,26%"
"11.08.2023","11.081,63","11.133,03","11.162,45","11.050,62","28,79M","-0,61%"
"10.08.2023","11.149,79","11.122,63","11.189,10","11.106,90","19,52M","0,62%"
"09.08.2023","11.081,54","11.115,06","11.146,22","11.081,54","17,39M","0,22%"
"08.08.2023","11.057,32","11.074,81","11.130,87","11.044,72","18,62M","-0,45%"
"07.08.2023","11.107,47","11.084,53","11.118,90","11.058,52","15,50M","0,08%"
"04.08.2023","11.098,48","11.077,87","11.101,41","11.009,02","17,58M","0,10%"
"03.08.2023","11.087,18","11.158,24","11.158,53","11.060,74","20,58M","-1,12%"
"02.08.2023","11.212,70","11.154,53","11.244,64","11.130,71","25,31M","-0,85%"
"31.07.2023","11.309,25","11.314,29","11.349,37","11.308,02","19,54M","-0,08%"
"28.07.2023","11.317,74","11.326,25","11.364,99","11.301,12","17,92M","-0,49%"
"27.07.2023","11.373,21","11.222,60","11.399,49","11.220,80","25,75M","1,70%"
"26.07.2023","11.183,55","11.223,96","11.242,69","11.116,54","19,73M","-0,43%"
"25.07.2023","11.231,41","11.194,80","11.245,86","11.159,15","18,50M","0,48%"
"24.07.2023","11.177,68","11.203,23","11.238,62","11.164,30","17,21M","-0,27%"
"21.07.2023","11.207,38","11.232,09","11.246,30","11.167,33","19,20M","0,05%"
"20.07.2023","11.201,55","11.096,59","11.216,81","11.087,67","21,37M","0,73%"
"19.07.2023","11.120,15","11.123,59","11.161,84","11.119,02","18,95M","0,15%"
"18.07.2023","11.103,55","10.998,09","11.120,88","10.993,01","18,59M","1,16%"
"17.07.2023","10.976,20","11.119,42","11.122,42","10.975,51","18,46M","-1,21%"
"14.07.2023","11.110,19","11.030,43","11.114,37","11.030,43","18,58M","0,80%"
"13.07.2023","11.021,66","11.016,44","11.076,17","11.013,04","14,36M","0,02%"
"12.07.2023","11.019,03","10.972,12","11.039,92","10.953,00","19,09M","0,51%"
"11.07.2023","10.962,59","10.928,41","10.975,59","10.904,11","18,53M","0,37%"
"10.07.2023","10.922,01","10.865,25","10.952,15","10.859,43","19,55M","0,43%"
"07.07.2023","10.874,90","10.959,89","10.996,26","10.851,84","20,55M","-1,02%"
"06.07.2023","10.986,78","11.112,21","11.121,92","10.967,57","22,74M","-1,85%"
"05.07.2023","11.193,92","11.189,10","11.214,91","11.159,50","21,35M","-0,21%"
"04.07.2023","11.217,34","11.236,06","11.261,31","11.208,28","13,47M","-0,02%"
"03.07.2023","11.219,15","11.288,15","11.332,26","11.217,03","18,72M","-0,54%"
"30.06.2023","11.280,29","11.204,93","11.309,04","11.203,26","27,78M","0,98%"
"29.06.2023","11.170,51","11.194,48","11.203,42","11.156,85","16,67M","-0,12%"
"28.06.2023","11.183,55","11.233,66","11.242,53","11.167,64","20,77M","0,37%"
"27.06.2023","11.142,65","11.167,88","11.184,96","11.113,00","17,88M","0,01%"
"26.06.2023","11.141,90","11.205,20","11.205,20","11.136,39","19,54M","-0,71%"
"23.06.2023","11.221,22","11.177,09","11.263,74","11.175,05","17,11M","0,34%"
"22.06.2023","11.183,42","11.102,11","11.183,42","11.070,61","19,07M","0,09%"
"21.06.2023","11.173,65","11.196,62","11.243,96","11.164,28","20,00M","-0,38%"
"20.06.2023","11.215,91","11.271,57","11.315,73","11.215,91","25,09M","-0,80%"
"19.06.2023","11.306,64","11.360,21","11.361,67","11.291,13","16,16M","-0,70%"
"16.06.2023","11.386,26","11.317,44","11.448,69","11.309,36","59,91M","0,74%"
"15.06.2023","11.302,83","11.273,08","11.305,93","11.249,85","22,63M","0,22%"
"14.06.2023","11.278,30","11.317,93","11.356,35","11.259,23","28,80M","-0,43%"
"13.06.2023","11.327,27","11.340,02","11.348,15","11.275,51","23,06M","0,23%"
"12.06.2023","11.301,25","11.343,15","11.343,18","11.296,43","67,61M","0,42%"
"09.06.2023","11.254,42","11.317,79","11.321,23","11.238,63","42,15M","-0,48%"
"08.06.2023","11.308,90","11.348,45","11.368,52","11.294,85","42,95M","-0,35%"
"07.06.2023","11.348,11","11.424,33","11.440,84","11.343,31","40,74M","-1,05%"
"06.06.2023","11.468,27","11.425,97","11.490,78","11.397,21","42,10M","0,47%"
"05.06.2023","11.415,00","11.467,77","11.487,82","11.412,61","36,81M","-0,25%"
"02.06.2023","11.443,35","11.325,81","11.446,46","11.321,05","37,05M","1,30%"
"01.06.2023","11.296,28","11.266,31","11.324,54","11.246,19","41,42M","0,70%"
"31.05.2023","11.217,89","11.241,80","11.348,23","11.194,94","298,29M","-0,57%"
"30.05.2023","11.282,45","11.404,41","11.428,02","11.282,45","50,20M","-1,33%"
"26.05.2023","11.434,24","11.353,34","11.464,34","11.313,88","38,91M","0,96%"
"25.05.2023","11.325,26","11.365,62","11.374,02","11.307,58","30,22M","-0,51%"
"24.05.2023","11.383,14","11.432,86","11.447,78","11.349,13","32,55M","-0,89%"
"23.05.2023","11.484,90","11.494,97","11.561,39","11.484,90","31,29M","-0,59%"
"22.05.2023","11.553,23","11.558,88","11.591,00","11.533,47","29,54M","-0,15%"
"19.05.2023","11.571,16","11.496,81","11.607,89","11.482,54","57,31M","1,17%"
"17.05.2023","11.437,78","11.478,23","11.497,31","11.432,25","31,21M","-0,71%"
"16.05.2023","11.519,87","11.548,08","11.568,33","11.497,76","32,04M","-0,50%"
"15.05.2023","11.578,25","11.601,54","11.616,37","11.564,24","23,43M","0,12%"
"12.05.2023","11.564,73","11.578,64","11.606,10","11.539,79","26,04M","0,36%"
"11.05.2023","11.522,97","11.494,23","11.540,16","11.452,05","43,07M","0,66%"
"10.05.2023","11.447,23","11.522,75","11.543,30","11.421,38","32,89M","-0,86%"
"09.05.2023","11.546,04","11.566,53","11.568,97","11.486,14","34,92M","-0,42%"
"08.05.2023","11.595,25","11.546,25","11.606,88","11.537,21","21,83M","0,35%"
"05.05.2023","11.554,24","11.494,85","11.554,24","11.448,50","33,46M","0,85%"
"04.05.2023","11.456,37","11.450,15","11.487,91","11.418,25","46,16M","-0,43%"
"03.05.2023","11.506,19","11.463,43","11.508,78","11.435,54","37,31M","0,73%"
"02.05.2023","11.423,33","11.460,05","11.514,17","11.411,42","38,26M","-0,12%"
"28.04.2023","11.437,14","11.401,04","11.444,00","11.378,82","38,56M","0,66%"
"27.04.2023","11.361,89","11.366,11","11.414,07","11.336,08","33,48M","-0,03%"
"26.04.2023","11.364,91","11.433,47","11.445,47","11.337,44","52,02M","-1,29%"
"25.04.2023","11.513,12","11.468,54","11.549,03","11.458,63","59,60M","0,40%"
"24.04.2023","11.467,20","11.435,63","11.483,16","11.434,52","40,61M","0,06%"
"21.04.2023","11.460,58","11.402,55","11.460,58","11.371,42","53,58M","0,61%"
"20.04.2023","11.390,64","11.330,80","11.393,04","11.325,50","40,80M","0,21%"
"19.04.2023","11.366,22","11.332,35","11.377,85","11.330,77","43,42M","0,06%"
"18.04.2023","11.358,98","11.332,58","11.392,73","11.320,82","36,76M","0,42%"
"17.04.2023","11.311,76","11.337,18","11.342,46","11.296,96","47,06M","-0,27%"
"14.04.2023","11.342,86","11.276,43","11.368,38","11.268,31","50,49M","0,75%"
"13.04.2023","11.258,95","11.234,87","11.288,29","11.222,05","46,02M","0,24%"
"12.04.2023","11.231,99","11.238,55","11.309,55","11.216,73","61,57M","-0,30%"
"11.04.2023","11.265,30","11.288,52","11.306,25","11.223,98","47,17M","0,31%"
"06.04.2023","11.230,07","11.146,63","11.239,59","11.146,63","48,21M","1,03%"
"05.04.2023","11.115,40","11.059,52","11.134,16","11.042,76","41,60M","0,38%"
"04.04.2023","11.073,48","11.114,49","11.124,14","11.064,44","42,65M","-0,18%"
"03.04.2023","11.093,09","11.112,31","11.119,60","11.049,57","53,56M","-0,12%"
"31.03.2023","11.106,24","11.047,29","11.116,03","11.041,57","56,88M","0,67%"
"30.03.2023","11.032,21","11.013,49","11.049,21","10.985,23","67,58M","0,63%"
"29.03.2023","10.963,31","10.890,53","10.984,92","10.882,78","91,27M","1,15%"
"28.03.2023","10.839,11","10.835,83","10.857,61","10.804,76","60,42M","0,49%"
"27.03.2023","10.786,22","10.785,28","10.817,72","10.722,97","63,07M","1,43%"
"24.03.2023","10.634,04","10.655,18","10.669,04","10.561,63","100,79M","-0,79%"
"23.03.2023","10.718,54","10.723,73","10.729,21","10.653,96","80,66M","-0,59%"
"22.03.2023","10.782,28","10.788,61","10.846,70","10.763,41","106,04M","-0,10%"
"21.03.2023","10.792,58","10.740,36","10.814,48","10.731,90","162,34M","1,40%"
"20.03.2023","10.643,64","10.571,09","10.689,76","10.395,33","415,97M","0,28%"
"17.03.2023","10.613,55","10.783,76","10.794,33","10.566,90","251,68M","-0,98%"
"16.03.2023","10.719,10","10.609,70","10.719,10","10.524,37","279,17M","1,93%"
"15.03.2023","10.516,40","10.716,78","10.720,78","10.460,34","360,88M","-1,87%"
"14.03.2023","10.716,72","10.643,38","10.728,66","10.593,55","119,15M","0,80%"
"13.03.2023","10.632,05","10.735,78","10.739,62","10.538,35","170,95M","-1,24%"
"10.03.2023","10.765,26","10.860,73","10.880,77","10.720,08","102,11M","-1,68%"
"09.03.2023","10.948,85","10.963,87","10.975,39","10.908,34","58,80M","-0,69%"
"08.03.2023","11.025,26","11.016,85","11.044,82","10.995,92","44,63M","-0,35%"
"07.03.2023","11.064,08","11.122,05","11.181,68","11.064,08","39,64M","-0,75%"
"06.03.2023","11.147,25","11.173,40","11.203,67","11.137,94","43,90M","-0,38%"
"03.03.2023","11.190,09","11.192,67","11.194,41","11.134,81","59,69M","0,22%"
"02.03.2023","11.165,58","11.005,22","11.168,83","10.994,16","83,24M","0,99%"
"01.03.2023","11.056,08","11.091,90","11.141,12","11.040,23","47,47M","-0,38%"
"28.02.2023","11.098,35","11.183,25","11.220,15","11.098,35","63,10M","-1,08%"
"27.02.2023","11.219,93","11.215,62","11.272,69","11.215,62","44,26M","0,34%"
"24.02.2023","11.181,77","11.297,50","11.315,18","11.141,68","37,14M","-0,59%"
"23.02.2023","11.247,75","11.317,12","11.320,10","11.246,68","43,82M","-0,46%"
"22.02.2023","11.300,29","11.266,65","11.333,85","11.197,77","43,33M","0,16%"
"21.02.2023","11.282,16","11.251,55","11.292,72","11.164,10","76,33M","0,14%"
"20.02.2023","11.266,68","11.286,28","11.291,70","11.247,40","36,17M","0,09%"
"17.02.2023","11.256,29","11.153,28","11.277,38","11.116,71","47,40M","0,55%"
"16.02.2023","11.194,91","11.309,84","11.320,54","11.154,11","56,28M","-0,69%"
"15.02.2023","11.272,67","11.206,11","11.285,37","11.195,10","40,60M","0,36%"
"14.02.2023","11.231,91","11.233,17","11.308,91","11.216,64","47,97M","0,20%"
"13.02.2023","11.209,34","11.144,95","11.214,52","11.141,39","49,71M","0,71%"
"10.02.2023","11.130,46","11.146,51","11.172,18","11.034,48","76,23M","-0,78%"
"09.02.2023","11.217,73","11.313,61","11.336,22","11.215,72","152,37M","-0,52%"
"08.02.2023","11.276,28","11.358,64","11.361,73","11.271,45","51,90M","0,38%"
"07.02.2023","11.233,87","11.290,26","11.304,70","11.217,18","40,57M","-0,44%"
"06.02.2023","11.283,25","11.305,51","11.307,48","11.229,48","48,62M","-0,58%"
"03.02.2023","11.349,39","11.192,71","11.355,45","11.181,96","54,12M","1,44%"
"02.02.2023","11.188,42","11.224,08","11.279,81","11.146,45","76,60M","-0,11%"
"01.02.2023","11.200,93","11.299,53","11.301,31","11.180,26","54,01M","-0,75%"
"31.01.2023","11.285,78","11.358,75","11.358,75","11.238,81","58,61M","-0,82%"
"30.01.2023","11.379,64","11.296,53","11.397,53","11.287,93","46,42M","0,42%"
"27.01.2023","11.332,30","11.339,60","11.359,46","11.296,15","50,19M","0,13%"
"26.01.2023","11.317,56","11.425,41","11.441,10","11.317,56","55,35M","-0,76%"
"25.01.2023","11.404,77","11.386,57","11.404,77","11.327,93","39,77M","-0,01%"
"24.01.2023","11.406,29","11.413,75","11.436,79","11.368,81","53,57M","0,00%"
"23.01.2023","11.406,27","11.319,58","11.406,90","11.290,90","43,97M","0,98%"
"20.01.2023","11.295,02","11.294,72","11.320,38","11.274,43","45,43M","0,32%"
"19.01.2023","11.258,97","11.314,21","11.372,58","11.258,97","65,19M","-0,95%"
"18.01.2023","11.366,62","11.381,20","11.423,07","11.352,88","53,38M","-0,31%"
"17.01.2023","11.401,99","11.417,53","11.453,64","11.376,31","44,16M","-0,30%"
"16.01.2023","11.435,99","11.318,52","11.435,99","11.307,97","39,91M","1,29%"
"13.01.2023","11.290,79","11.307,41","11.342,60","11.251,26","49,35M","0,03%"
"12.01.2023","11.287,82","11.304,08","11.328,80","11.247,96","56,22M","0,37%"
"11.01.2023","11.246,01","11.174,08","11.306,31","11.124,92","60,81M","0,75%"
"10.01.2023","11.162,15","11.123,58","11.180,51","11.108,18","38,96M","-0,45%"
"09.01.2023","11.212,57","11.171,42","11.234,13","11.152,04","50,37M","0,61%"
"06.01.2023","11.144,54","11.068,62","11.147,87","11.048,14","34,82M","0,79%"
"05.01.2023","11.057,39","11.093,61","11.112,50","11.048,09","44,81M","-0,74%"
"04.01.2023","11.140,27","11.020,74","11.140,27","11.015,91","51,91M","1,47%"
"03.01.2023","10.978,64","10.853,91","11.004,46","10.822,76","53,48M","2,32%"
"30.12.2022","10.729,40","10.809,16","10.830,36","10.729,40","32,55M","-1,18%"
"29.12.2022","10.857,35","10.744,02","10.869,90","10.737,90","25,22M","0,41%"
"28.12.2022","10.812,67","10.825,66","10.854,90","10.803,10","27,53M","-0,24%"
"27.12.2022","10.839,22","10.834,14","10.876,38","10.817,48","21,24M","0,32%"
"23.12.2022","10.804,68","10.804,30","10.843,73","10.761,29","29,38M","0,28%"
"22.12.2022","10.774,64","10.850,66","10.890,43","10.760,44","34,75M","-0,65%"
"21.12.2022","10.845,59","10.699,07","10.845,59","10.690,97","37,10M","1,75%"
"20.12.2022","10.659,19","10.696,58","10.728,77","10.659,19","50,58M","-1,06%"
"19.12.2022","10.773,23","10.790,24","10.837,94","10.760,27","43,02M","0,03%"
"16.12.2022","10.770,38","10.895,40","10.913,65","10.746,37","118,07M","-1,01%"
"15.12.2022","10.880,14","11.093,14","11.093,14","10.880,14","63,34M","-2,51%"
"14.12.2022","11.160,69","11.110,09","11.175,45","11.079,52","55,33M","0,22%"
"13.12.2022","11.136,62","11.070,62","11.223,47","11.014,16","53,41M","0,93%"
"12.12.2022","11.033,64","11.037,36","11.050,30","10.989,77","46,64M","-0,31%"
"09.12.2022","11.068,30","11.010,70","11.101,33","10.980,80","68,18M","0,58%"
"08.12.2022","11.004,53","11.022,16","11.035,96","10.940,27","44,41M","-0,05%"
"07.12.2022","11.009,95","11.062,09","11.077,77","11.000,64","45,71M","-0,89%"
"06.12.2022","11.109,33","11.185,68","11.208,11","11.085,28","106,88M","-0,76%"
"05.12.2022","11.194,67","11.196,47","11.239,76","11.170,93","107,45M","-0,03%"
"02.12.2022","11.198,13","11.206,53","11.234,25","11.122,68","113,72M","-0,36%"
"01.12.2022","11.238,20","11.215,50","11.283,87","11.207,56","95,24M","0,99%"
"30.11.2022","11.127,77","11.143,07","11.204,88","11.127,77","122,26M","0,45%"
"29.11.2022","11.077,81","11.160,09","11.176,97","11.071,56","90,09M","-0,76%"
"28.11.2022","11.162,16","11.147,67","11.199,19","11.115,37","78,93M","-0,05%"
"25.11.2022","11.168,03","11.166,33","11.188,29","11.140,38","67,76M","0,09%"
"24.11.2022","11.157,56","11.088,62","11.175,27","11.085,38","37,17M","0,57%"
"23.11.2022","11.094,46","11.077,54","11.104,13","11.066,04","48,21M","0,18%"
"22.11.2022","11.074,30","11.074,93","11.104,84","11.046,82","29,67M","-0,10%"
"21.11.2022","11.085,04","11.022,75","11.101,92","11.019,98","34,49M","0,36%"
"18.11.2022","11.045,49","10.991,63","11.063,88","10.949,42","44,29M","1,17%"
"17.11.2022","10.917,88","10.962,28","10.993,11","10.838,80","32,55M","-0,17%"
"16.11.2022","10.936,62","11.022,35","11.022,35","10.922,45","36,69M","-0,81%"
"15.11.2022","11.026,22","11.008,89","11.087,42","10.991,74","40,18M","0,24%"
"14.11.2022","10.999,59","11.116,31","11.129,50","10.993,10","42,00M","-1,15%"
"11.11.2022","11.127,15","11.091,16","11.252,16","11.087,91","68,83M","0,06%"
"10.11.2022","11.120,49","10.882,09","11.147,68","10.846,41","50,12M","1,98%"
"09.11.2022","10.904,33","10.813,68","10.911,45","10.803,04","35,71M","0,71%"
"08.11.2022","10.827,04","10.725,88","10.845,27","10.718,32","39,26M","0,71%"
"07.11.2022","10.750,39","10.751,99","10.806,62","10.712,88","34,50M","-0,35%"
"04.11.2022","10.787,77","10.727,83","10.852,48","10.707,62","40,55M","0,72%"
"03.11.2022","10.710,59","10.724,78","10.741,52","10.633,38","32,62M","-0,89%"
"02.11.2022","10.806,23","10.821,72","10.864,62","10.766,77","32,98M","0,21%"
"01.11.2022","10.783,65","10.870,09","10.926,54","10.755,33","33,82M","-0,41%"
"31.10.2022","10.827,93","10.794,96","10.850,31","10.746,19","52,60M","0,52%"
"28.10.2022","10.772,37","10.649,15","10.783,54","10.635,05","50,16M","0,61%"
"27.10.2022","10.706,62","10.787,27","10.789,95","10.702,49","89,64M","-1,02%"
"26.10.2022","10.817,21","10.760,36","10.821,29","10.689,81","40,67M","0,41%"
"25.10.2022","10.773,34","10.639,96","10.773,76","10.629,55","46,79M","1,68%"
"24.10.2022","10.595,53","10.489,80","10.628,79","10.472,38","40,97M","1,70%"
"21.10.2022","10.418,60","10.387,13","10.461,54","10.319,86","44,98M","-0,52%"
"20.10.2022","10.473,45","10.461,95","10.502,14","10.426,20","34,66M","-0,10%"
"19.10.2022","10.484,14","10.582,74","10.591,90","10.484,14","35,40M","-0,89%"
"18.10.2022","10.578,76","10.513,99","10.645,71","10.513,97","41,71M","0,76%"
"17.10.2022","10.498,71","10.326,92","10.538,32","10.296,17","38,22M","1,64%"
"14.10.2022","10.329,34","10.322,40","10.460,11","10.305,74","51,18M","0,99%"
"13.10.2022","10.227,90","10.129,03","10.227,90","10.010,78","48,07M","0,28%"
"12.10.2022","10.199,32","10.198,89","10.249,91","10.139,66","39,31M","-0,08%"
"11.10.2022","10.207,83","10.199,77","10.230,45","10.122,51","39,79M","-0,53%"
"10.10.2022","10.262,52","10.238,88","10.290,71","10.200,24","46,92M","-0,45%"
"07.10.2022","10.308,57","10.343,45","10.439,88","10.297,19","47,89M","-0,79%"
"06.10.2022","10.391,13","10.506,11","10.525,38","10.358,78","49,48M","-0,83%"
"05.10.2022","10.477,69","10.532,17","10.593,56","10.449,53","46,79M","-1,07%"
"04.10.2022","10.590,92","10.367,47","10.590,92","10.355,75","57,99M","2,92%"
"03.10.2022","10.290,71","10.182,27","10.290,71","10.097,84","69,77M","0,23%"
"30.09.2022","10.267,55","10.174,22","10.275,86","10.155,65","45,45M","1,39%"
"29.09.2022","10.126,99","10.159,40","10.166,07","10.041,52","49,27M","-0,92%"
"28.09.2022","10.220,76","10.065,21","10.220,76","10.059,79","66,47M","0,93%"
"27.09.2022","10.126,43","10.120,56","10.201,23","10.108,85","47,26M","0,53%"
"26.09.2022","10.072,62","10.131,54","10.160,89","10.015,37","49,66M","-0,64%"
"23.09.2022","10.137,78","10.276,65","10.322,19","10.091,87","68,99M","-1,55%"
"22.09.2022","10.297,65","10.268,67","10.458,10","10.266,70","49,47M","-1,26%"
"21.09.2022","10.429,40","10.415,67","10.450,62","10.380,48","31,95M","-0,45%"
"20.09.2022","10.476,54","10.648,17","10.690,84","10.476,54","32,53M","-1,32%"
"19.09.2022","10.617,01","10.588,18","10.645,39","10.520,90","29,77M","0,06%"
"16.09.2022","10.610,65","10.692,80","10.750,95","10.610,65","105,56M","-1,27%"
"15.09.2022","10.746,70","10.762,95","10.837,10","10.714,59","32,70M","-0,07%"
"14.09.2022","10.754,40","10.840,36","10.872,76","10.727,43","39,10M","-1,26%"
"13.09.2022","10.891,54","11.034,08","11.083,49","10.891,54","41,21M","-0,90%"
"12.09.2022","10.990,75","10.928,60","11.013,98","10.901,12","34,48M","0,83%"
"09.09.2022","10.900,24","10.814,39","10.940,52","10.793,24","31,98M","1,02%"
"08.09.2022","10.790,32","10.849,33","10.867,83","10.667,43","32,64M","-0,14%"
"07.09.2022","10.805,16","10.799,63","10.841,62","10.727,12","28,11M","-0,27%"
"06.09.2022","10.834,18","10.819,78","10.930,48","10.780,12","26,48M","0,14%"
"05.09.2022","10.819,54","10.742,15","10.837,23","10.686,59","26,02M","-0,66%"
"02.09.2022","10.891,71","10.720,46","10.897,06","10.713,25","37,12M","2,14%"
"01.09.2022","10.663,44","10.768,61","10.778,93","10.652,28","36,87M","-1,76%"
"31.08.2022","10.855,03","10.898,13","10.949,60","10.816,54","39,44M","-0,27%"
"30.08.2022","10.884,95","10.914,18","11.007,86","10.865,82","24,86M","-0,11%"
"29.08.2022","10.896,74","10.882,90","10.938,17","10.840,61","24,44M","-0,42%"
"26.08.2022","10.942,16","11.095,69","11.102,50","10.930,37","26,91M","-1,10%"
"25.08.2022","11.063,88","11.056,95","11.122,18","10.975,51","24,99M","0,46%"
"24.08.2022","11.012,87","10.925,64","11.020,44","10.895,27","28,57M","0,73%"
"23.08.2022","10.933,06","11.021,23","11.046,46","10.921,85","28,73M","-1,38%"
"22.08.2022","11.085,84","11.105,65","11.144,60","11.052,39","31,92M","-0,64%"
"19.08.2022","11.156,72","11.125,80","11.241,18","11.125,80","33,74M","-0,10%"
"18.08.2022","11.167,59","11.107,70","11.186,50","11.090,08","20,22M","0,35%"
"17.08.2022","11.128,19","11.137,84","11.192,68","11.114,60","58,81M","-0,02%"
"16.08.2022","11.130,44","11.182,59","11.185,92","11.085,13","22,81M","-0,37%"
"15.08.2022","11.171,54","11.157,22","11.188,98","11.104,00","20,94M","0,39%"
"12.08.2022","11.128,24","11.130,91","11.178,04","11.110,80","29,58M","-0,24%"
"11.08.2022","11.154,58","11.192,57","11.205,01","11.114,72","37,48M","0,00%"
"10.08.2022","11.155,10","11.089,52","11.170,46","11.065,11","33,52M","0,20%"
"09.08.2022","11.132,48","11.135,33","11.177,37","11.100,66","37,40M","-0,30%"
"08.08.2022","11.166,32","11.178,94","11.210,14","11.144,77","28,17M","0,39%"
"05.08.2022","11.123,07","11.176,01","11.220,47","11.112,17","27,58M","-0,71%"
"04.08.2022","11.202,66","11.153,89","11.230,08","11.151,08","34,66M","0,21%"
"03.08.2022","11.178,99","11.076,07","11.200,36","11.054,02","29,07M","0,55%"
"02.08.2022","11.118,10","11.118,11","11.135,96","11.019,63","41,98M","-0,25%"
"29.07.2022","11.145,91","11.174,45","11.216,76","11.145,91","45,62M","0,15%"
"28.07.2022","11.129,33","11.084,68","11.129,33","11.041,17","44,58M","0,66%"
"27.07.2022","11.056,74","11.134,47","11.138,03","11.056,74","51,49M","-0,41%"
"26.07.2022","11.102,31","11.142,00","11.144,32","11.074,15","49,82M","-0,24%"
"25.07.2022","11.129,35","11.034,33","11.156,32","11.029,69","32,42M","0,30%"
"22.07.2022","11.096,12","11.095,26","11.178,03","11.075,97","28,08M","-0,35%"
"21.07.2022","11.134,74","11.019,43","11.134,74","11.002,17","37,65M","0,68%"
"20.07.2022","11.059,49","11.151,90","11.188,31","11.052,95","28,16M","-0,56%"
"19.07.2022","11.122,08","10.959,95","11.143,06","10.939,51","36,10M","1,02%"
"18.07.2022","11.010,18","11.001,93","11.114,78","10.993,31","32,81M","0,26%"
"15.07.2022","10.982,09","10.842,34","10.982,09","10.797,90","48,09M","1,69%"
"14.07.2022","10.799,52","10.877,19","10.883,22","10.755,46","36,80M","-0,97%"
"13.07.2022","10.904,85","10.991,88","10.991,88","10.805,39","39,55M","-1,49%"
"12.07.2022","11.069,83","10.969,53","11.069,83","10.925,90","29,16M","0,39%"
"11.07.2022","11.027,16","10.891,17","11.027,50","10.879,25","25,56M","0,11%"
"08.07.2022","11.015,03","10.935,29","11.030,00","10.882,86","35,62M","0,68%"
"07.07.2022","10.940,98","10.911,02","10.988,42","10.859,59","36,86M","0,93%"
"06.07.2022","10.840,60","10.823,86","10.896,68","10.780,12","38,34M","1,29%"
"05.07.2022","10.702,50","10.907,28","10.916,20","10.702,50","43,85M","-1,65%"
"04.07.2022","10.881,97","10.835,67","10.918,88","10.833,82","25,03M","1,04%"
"01.07.2022","10.770,40","10.647,02","10.815,39","10.631,55","30,96M","0,27%"
"30.06.2022","10.741,21","10.708,90","10.741,21","10.606,51","53,67M","-0,65%"
"29.06.2022","10.811,75","10.708,07","10.811,75","10.662,59","35,77M","0,02%"
"28.06.2022","10.809,57","10.921,06","10.933,74","10.802,80","34,67M","-0,89%"
"27.06.2022","10.906,82","10.873,43","10.921,03","10.826,92","42,38M","0,77%"
